stage,variable,center,metric,value,lo,hi,n_support,zero_draw_fraction,nonfinite_draw_fraction
pre-peak,log_sigma_star,9.375,O,0.4259749194327956,0.33423175241357056,0.5202239216315865,6,0.0,0.0
pre-peak,log_sigma_star,9.375,I,0.5355820793649233,0.3236845245866555,0.7610904674868384,5,0.0,0.0
pre-peak,log_sigma_star,9.375,T,0.22814453310712232,0.13280914077771358,0.32044899063109544,6,0.0,0.0
pre-peak,log_sigma_star,9.375,F_SF,0.4259749194327956,0.33423175241357056,0.5202239216315865,6,0.0,0.0
pre-peak,log_sigma_star,9.375,F_NSF,0.5740250805672044,0.4797760783684135,0.6657682475864295,6,0.0,0.0
pre-peak,log_sigma_star,9.375,I_NSF,1.0082193549341338e+41,5.080787076214901e+40,1.4925738927627917e+41,6,0.0,0.0
pre-peak,log_sigma_star,9.375,J_NSF,5.824451469392089e+40,3.102152140971839e+40,8.358476124637238e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.375,HA6562,1.007171415099887e+41,5.049299642518246e+40,1.4925738927627917e+41,6,0.0,0.0
pre-peak,log_sigma_star,9.375,HB4861,3.5215783744751243e+40,1.7654893854958875e+40,5.21878983483493e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.375,OIII5006,3.15240555339323e+40,4.4330687042450855e+39,5.851012736932539e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.375,NII6583,2.6239888416170034e+40,1.9052358813624423e+40,3.3265376167485e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.375,SII_SUM,1.9173315335647596e+40,1.0564553661089997e+40,2.7218937656704945e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.375,F_ND,0.0,0.0,0.0,6,1.0,0.0
pre-peak,radius_re,0.125,O,0.5154533149862963,0.3964930006688633,0.635262257420687,8,0.0,0.0
pre-peak,radius_re,0.125,I,0.2480826626981458,0.08582679201007361,0.41555275239063283,8,0.0,0.0
pre-peak,radius_re,0.125,T,0.12787503087838645,0.042004807764708,0.21260678693572152,8,0.0,0.0
pre-peak,radius_re,0.125,F_SF,0.5154533149862963,0.3964930006688633,0.635262257420687,8,0.0,0.0
pre-peak,radius_re,0.125,F_NSF,0.472201841184451,0.35845714696009945,0.5858653780648431,8,0.0,0.0
pre-peak,radius_re,0.125,I_NSF,4.466569823370669e+40,1.256953957968368e+40,7.594697971589615e+40,8,0.0,0.0
pre-peak,radius_re,0.125,J_NSF,1.6952920049499862e+40,4.465208347180253e+39,2.9227059013234333e+40,8,0.0,0.0
pre-peak,radius_re,0.125,HA6562,4.476911600417894e+40,1.2700492335456944e+40,7.605869770684308e+40,8,0.0,0.0
pre-peak,radius_re,0.125,HB4861,1.565369282589658e+40,4.4408074798380805e+39,2.659413500210696e+40,8,0.0,0.0
pre-peak,radius_re,0.125,OIII5006,1.6719397425570906e+40,1.8427033309674636e+39,3.156264566185682e+40,8,0.0,0.0
pre-peak,radius_re,0.125,NII6583,1.0629292258265911e+40,5.191304729852313e+39,1.5929331594752113e+40,8,0.0,0.0
