zone,time_Myr,D,median_A,SF,NSF,ND,I_SF,I_NSF,A_det,A_SF
inner,467.5,0.08258187159497182,0.08419463600158536,0.05121697202221798,0.948783027977782,0.0,0.5939666524233176,0.1823286083685109,0.0,0.3374181284050282
inner,470.0,0.08223849632525257,0.08349592935603185,0.05007083074047913,0.9499291692595209,0.0,0.5932927497873257,0.18144373558787902,0.0,0.33776150367474744
inner,472.5,0.08189654880927123,0.08280302107246107,0.04894585990564515,0.9510541400943548,0.0,0.5926236408864729,0.18056020299109643,0.0,0.3381034511907288
inner,475.0,0.08155602311043042,0.08211586303196372,0.04784178722533605,0.952158212774664,0.0,0.5919592784487869,0.17967805003234275,0.0,0.3384439768895696
inner,477.5,0.08121691331681707,0.08143440751495531,0.04675834088449249,0.9532416591155075,0.0,0.5912996157688588,0.1787973159569431,0.0,0.33878308668318297
inner,480.0,0.08087921354109988,0.08075860719786215,0.04569524963169991,0.9543047503683001,0.0,0.5906446067001954,0.17791803979141874,0.0,0.33912078645890015
inner,482.5,0.08054291792042702,0.08008841514983514,0.04465224286337266,0.9553477571366273,0.0,0.5899942056476618,0.17704026033362924,0.0,0.33945708207957304
inner,485.0,0.08020802061632444,0.07942378482949045,0.04362905070579515,0.9563709492942049,0.0,0.5893483675600417,0.1761640161430128,0.0,0.3397919793836756
inner,487.5,0.07987451581459437,0.07876467008167763,0.0426254040950228,0.9573745959049598,1.7428785185923884e-14,0.5887070479227082,0.17528934553093173,0.00012548418540563044,0.34012548418540567
inner,490.0,0.07954239772521456,0.0781110251342743,0.04164103485464676,0.9583589644071702,7.381831111606796e-10,0.588070202750393,0.17441628662388353,0.0004576022747854458,0.3404576022747855
inner,492.5,0.07921166058223758,0.07746280459500755,0.04067567577142528,0.9593242903850966,3.384347812457068e-08,0.5874377885800655,0.17354488029397225,0.0007883394177624209,0.34078833941776243
inner,495.0,0.07888229864369085,0.07681996344830166,0.039729060668788896,0.9602706159348152,3.233963958764197e-07,0.5868097624639123,0.17267518562132614,0.0011177013563091476,0.3411177013563092
inner,497.5,0.07855430619147691,0.07618245705215194,0.03880092447822536,0.9611975261726726,1.549349102064744e-06,0.586186081962421,0.17180730420181994,0.0014456938085230936,0.34144569380852313
inner,500.0,0.07822767753127408,0.07555024113502473,0.03789100330855377,0.9621039395150623,5.057176383911032e-06,0.5855667051375582,0.17094139791136576,0.001772322468725926,0.34177232246872596
inner,502.5,0.0779024069924377,0.07492327179278281,0.036999034513096385,0.9629880077360691,1.2957750834486763e-05,0.5849515905460527,0.17007769526070218,0.0020975930075623067,0.3420975930075624
inner,505.0,0.07757848892790166,0.07430150548563655,0.03612475675475946,0.9638471080534005,2.8135191840085786e-05,0.58434069723277,0.1692164887298523,0.0024215110720983424,0.3424215110720984
inner,507.5,0.07725591771408029,0.07368489903512031,0.035267910069034736,0.9646778953445178,5.419458644752791e-05,0.583733984724184,0.16835812662394864,0.0027440822859197134,0.34274408228591974
inner,510.0,0.07693468775077081,0.07307340962109386,0.03442823592493405,0.9654763879217414,9.537615332451713e-05,0.583131413021951,0.16750300225965947,0.0030653122492291934,0.3430653122492292
inner,512.5,0.07661479346105605,0.07246699477876886,0.03360547728387264,0.9662380684759149,0.00015645424021252187,0.5825329425965563,0.16665154235131047,0.0033852065389439467,0.343385206538944
inner,515.0,0.0762962292912077,0.07186561239575977,0.03279937865651383,0.9669579885274427,0.00024263281604344482,0.5819385343810749,0.165804195726022,0.0037037707087922978,0.3437037707087923
inner,517.5,0.07597898971058979,0.07126922070915936,0.03200968615759259,0.9676308694608232,0.00035944438158417495,0.5813481497650121,0.16496142299055344,0.0040210102894102095,0.34402101028941023
inner,520.0,0.07566306921156274,0.0706777783026387,0.031236147558735827,0.968251196338621,0.0005126561026431202,0.5807617505882242,0.1641236874472922,0.004336930788437263,0.3443369307884373
inner,522.5,0.07534846230938774,0.07009124410357069,0.030478512339294217,0.9688133026669984,0.0007081849937074076,0.5801792991349437,0.16329144735683646,0.004651537690612259,0.3446515376906123
inner,525.0,0.07503516354213151,0.06950957738017806,0.02973653173520796,0.9693114454975035,0.0009520227672885431,0.5796007581278766,0.16246514952680224,0.004964836457868493,0.3449648364578685
inner,527.5,0.07472316747057145,0.06893273773870455,0.029009958785923273,0.9697398709673999,0.001250170246676829,0.5790260907223967,0.16164522414106552,0.005276832529428552,0.3452768325294286
inner,530.0,0.07441246867810128,0.06836068512060993,0.028298548379381727,0.9700928707834768,0.0016085808371413945,0.5784552605008098,0.16083208071098332,0.005587531321898723,0.3455875313218988
inner,532.5,0.07410306177063693,0.06779337979978804,0.027602057295103233,0.9703648303598144,0.002033112345082401,0.5778882314667062,0.16002610501752507,0.0058969382293630745,0.3458969382293631
inner,535.0,0.0737949413765229,0.06723078237980805,0.026920244245383418,0.9705502694043536,0.0025294863502630083,0.5773249680394026,0.15922765691259497,0.006205058623477103,0.34620505862347717
inner,537.5,0.07348810214643911,0.06667285379117861,0.02625286991463016,0.9706438757609268,0.003103254324443004,0.5767654350484528,0.15843706885400208,0.006511897853560891,0.34651189785356096
inner,540.0,0.07318253875330784,0.06611955528863461,0.025599696996861043,0.9706405332834506,0.003759769719688441,0.5762095977282361,0.15765464505833876,0.006817461246692164,0.3468174612466922
inner,542.5,0.0728782458922014,0.06557084844844657,0.0249604902313858,0.9705353444666379,0.004504165301976228,0.575657421712634,0.1568806611674524,0.007121754107798597,0.34712175410779866
inner,545.0,0.07257521828025001,0.06502669516575231,0.024335016436698997,0.9703236484948586,0.0053413350684423724,0.5751088730297774,0.15611536433604098,0.007424781719749987,0.34742478171975
inner,547.5,0.07227345065655,0.0644870576519107,0.023723044542607763,0.9700010353049636,0.0062759201524285844,0.5745639180968589,0.1553589736594449,0.007726549343450004,0.34772654934345004
inner,550.0,0.07197293778207252,0.06395189843187757,0.02312434562061927,0.9695633561943116,0.007312298185069126,0.574022523715043,0.1546116808715484,0.008027062217927483,0.3480270622179275
inner,552.5,0.07167367443957265,0.06342118034160309,0.02253869291261623,0.9690067314442603,0.008454575643123486,0.5734846570644223,0.15387365125263994,0.008326325560427353,0.3483263255604274
inner,555.0,0.0713756554334987,0.06289486652545105,0.021965861857844216,0.9683275553732584,0.0097065827688973,0.5729502856990695,0.15314502469603036,0.008624344566501296,0.3486243445665013
inner,557.5,0.07107887558990215,0.06237292043363937,0.021405630118241037,0.9675224991828346,0.011071870698924367,0.5724193775421371,0.15242591689018747,0.008921124410097847,0.34892112441009787
inner,560.0,0.07078332975634768,0.061855305819701924,0.020857777602132033,0.9665885119142809,0.01255371048358713,0.5718919008810527,0.1517164205801533,0.009216670243652317,0.3492166702436523
inner,562.5,0.07048901280182382,0.06134198673797139,0.02032208648632261,0.965522819793435,0.014155093720242417,0.5713678243627596,0.15101660687813287,0.009510987198176182,0.3495109871981762
inner,565.0,0.07019591961665382,0.06083292754108302,0.019798341236613948,0.9643229242053186,0.015878734558067393,0.5708471169890333,0.15032652659845117,0.009804080383346181,0.3498040803833462
inner,567.5,0.06990404511240696,0.06032809287749911,0.019286328626770377,0.9629865985090709,0.017727072864158717,0.5703297481118793,0.14964621159665337,0.010095954887593045,0.3500959548875931
inner,570.0,0.06961338422181022,0.05982744768905403,0.01878583775596887,0.9615118838761799,0.01970227836785117,0.5698156874289686,0.14897567609644854,0.010386615778189778,0.3503866157781898
inner,572.5,0.06932393189866026,0.0593309572085196,0.01829666006475794,0.959897084311045,0.021806255624197024,0.5693049049791576,0.14831491799154314,0.010676068101339739,0.3506760681013398
inner,575.0,0.06903568311773592,0.05883858695719072,0.01781858934955549,0.9581407609919831,0.02404064965846146,0.5687973711380704,0.14766392011225232,0.010964316882264083,0.35096431688226415
inner,577.5,0.0687486328747108,0.05835030274249095,0.017351421775715914,0.9562417260525596,0.026406852171724463,0.5682930566137387,0.14702265144917145,0.011251367125289208,0.35125136712528926
inner,580.0,0.06846277618606654,0.057866070655598026,0.016894955889195096,0.9541990359072554,0.02890600820354954,0.5677919324423037,0.14639106832820392,0.011537223813933462,0.3515372238139335
inner,582.5,0.06817810808900623,0.0573858570690891,0.016448992626843406,0.9520119842116492,0.03153902316150732,0.5672939699837867,0.1457691155329171,0.011821891910993768,0.3518218919109938
inner,585.0,0.06789462364136825,0.05690962863460544,0.016013335325357092,0.9496800945352784,0.034306570139364584,0.5667991409178971,0.14515672737159102,0.01210537635863175,0.3521053763586318
inner,587.5,0.06761231792154049,0.056437352280536604,0.01558778972891628,0.947203112814862,0.03720909745622168,0.5663074172399383,0.14455382868746583,0.012387682078459514,0.35238768207845955
inner,590.0,0.06733118602837487,0.05596899520972376,0.015172163995541998,0.9445809996464667,0.04024683635799131,0.5658187712567323,0.14396033581162976,0.012668813971625129,0.3526688139716252
inner,592.5,0.06705122308110233,0.0555045248971821,0.014766268702200214,0.9418139224672586,0.04341980883054116,0.5653331755826285,0.14337615745874016,0.012948776918897675,0.3529487769188977
inner,595.0,0.06677242421924798,0.05504390908784216,0.014369916848684161,0.9389022476705823,0.046727835480733594,0.5648506031355559,0.14280119556637277,0.013227575780752024,0.35322757578075203
inner,597.5,0.06649478460254682,0.05458711579430985,0.01398292386030453,0.9358465326920896,0.050170543447605874,0.564371027133133,0.1422353460792647,0.013505215397453182,0.3535052153974532
inner,600.0,0.06621829941085962,0.054134113294645084,0.013605107589417575,0.9326475180994032,0.053747374311179236,0.5638944210888402,0.14167849968008112,0.013781700589140383,0.35378170058914044
outer,0.0,0.01,0.2,0.9047305821450091,0.02842929887445697,0.06684011898053385,0.28614179187080685,0.08511146608304333,0.07,0.08
outer,2.5,0.009928825924309504,0.19587643626624804,0.8993672570527247,0.029652883878993813,0.07097985906828144,0.28151759438691853,0.08510643710604775,0.0700711740756905,0.08007117407569049
outer,5.0,0.009858158423524046,0.19183789142182764,0.8937888403727638,0.03089907594761908,0.07531208367961702,0.2770126473814145,0.08510141939555359,0.07014184157647596,0.08014184157647596
outer,7.5,0.009787993892143566,0.18788261256269517,0.8879923444985492,0.032166386309620654,0.0798412691918301,0.2726242849458781,0.08509641282007722,0.07021200610785644,0.08021200610785643
outer,10.0,0.00971832875032981,0.18400888292586468,0.881975091024783,0.03345320527327361,0.08457170370194345,0.26834987542758265,0.08509141724998769,0.07028167124967019,0.08028167124967019
outer,12.5,0.009649159443723701,0.18021502114425814,0.8757347300173709,0.03475780371013282,0.08950746627249628,0.2641868216926793,0.08508643255748054,0.0703508405562763,0.0803508405562763
outer,15.0,0.009580482443263975,0.1764993805169191,0.8692692587127905,0.03607833517076592,0.0946524061164436,0.26013256141877733,0.08508145861654648,0.07041951755673603,0.08041951755673601
outer,17.5,0.00951229424500714,0.1728603482942728,0.86257703953671,0.037412838643232305,0.10001012182005764,0.2561845674101914,0.08507649530294946,0.07048770575499286,0.08048770575499285
outer,20.0,0.009444591369948699,0.16929634497812285,0.8556568173318019,0.03875924196172503,0.10558394070647309,0.2523403479293717,0.08507154249419563,0.0705554086300513,0.0805554086300513
outer,22.5,0.009377370363845646,0.1658058236360801,0.8485077356855808,0.04011536586868869,0.11137689844573057,0.2485974470383056,0.08506660006951035,0.07062262963615436,0.08062262963615435
outer,25.0,0.009310627797040227,0.162387269230127,0.8411293522507285,0.041478928729474784,0.11739171901979673,0.24495344494399793,0.0850616679098093,0.07068937220295977,0.08068937220295977
outer,27.5,0.00924436026428497,0.15903919795902516,0.8335216529527991,0.042847551894188596,0.12363079515301223,0.24140595834247058,0.08505674589767587,0.07075563973571503,0.08075563973571502
outer,30.0,0.009178564384568925,0.155760156614281,0.8256850649833707,0.044218765696895534,0.13009616931973372,0.23795264075609293,0.08505183391733556,0.07082143561543108,0.08082143561543106
outer,32.5,0.009113236800945185,0.15254872194939012,0.8176204684806938,0.04559001607778196,0.1367895154415243,0.23459118285943117,0.08504693185463048,0.07088676319905482,0.08088676319905481
outer,35.0,0.009048374180359595,0.14940350006208653,0.809329206804615,0.0469586718092726,0.1437121213861125,0.23131931278920626,0.08504203959699722,0.0709516258196404,0.0809516258196404
outer,37.5,0.00898397321348071,0.14632312578932835,0.8008130953180461,0.0483220323025233,0.15086487237943058,0.2281347964343528,0.08503715703344188,0.07101602678651929,0.08101602678651929
outer,40.0,0.008920030614530944,0.14330626211475786,0.792074428593471,0.049677335966167135,0.15824823544036187,0.2250354377025841,0.0850322840545177,0.07107996938546905,0.08107996938546905
outer,42.5,0.008856543121118927,0.140351599588378,0.7831159859699023,0.05102176908474276,0.16586224494535495,0.22201907876027893,0.08502742055230154,0.07114345687888107,0.08114345687888107
outer,45.0,0.00879350749407306,0.13745785575819444,0.773941035393304,0.05235247517991082,0.17370648942678513,0.2190836002429149,0.08502256642037256,0.07120649250592695,0.08120649250592693
outer,47.5,0.00873092051727625,0.13462377461357544,0.7645533354816978,0.05366656481341869,0.1817800997048835,0.2162269214336726,0.08501772155378923,0.07126907948272375,0.08126907948272374
outer,50.0,0.008668778997501816,0.13184812604008875,0.7549571357649844,0.054961125786814724,0.19008173844820092,0.21344700040822961,0.08501288584906863,0.07133122100249818,0.08133122100249818
outer,52.5,0.008607079764250578,0.1291297052855784,0.7451571750588223,0.05623323368923189,0.19860959125194583,0.2107418341441396,0.08500805920416453,0.07139292023574942,0.08139292023574941
outer,55.0,0.008545819669589087,0.12646733243724995,0.7351586779416959,0.0574799627411306,0.2073613593171736,0.20810945859355595,0.08500324151844656,0.07145418033041091,0.08145418033041091
outer,57.5,0.00848499558798902,0.12385985190953697,0.7249673493144888,0.05869839687880585,0.21633425380670535,0.20554794871840637,0.0849984326926802,0.07151500441201097,0.08151500441201098
outer,60.0,0.008424604416167714,0.1213061319425267,0.7145893670324007,0.059885641021715286,0.225524991945884,0.20305541848745245,0.08499363262900589,0.07157539558383229,0.08157539558383228
outer,62.5,0.008364643072929832,0.118805064110727,0.7040313726098066,0.061038832462321946,0.23492979492787147,0.20063002083497336,0.08498884123092046,0.07163535692707017,0.08163535692707016
outer,65.0,0.008305108499010163,0.11635556284196168,0.6933004600096249,0.06215515231619706,0.24454438767417802,0.1982699475811005,0.08498405840325537,0.07169489150098984,0.08169489150098984
outer,67.5,0.008245997656917529,0.11395656494618461,0.682404162539806,0.06323183696860862,0.2543640004915854,0.19597342931409176,0.08497928405216032,0.07175400234308248,0.08175400234308247
outer,70.0,0.008187307530779819,0.11160702915400943,0.6713504378906259,0.06426618945275403,0.2643833726566201,0.1937387352350757,0.08497451808508215,0.07181269246922019,0.08181269246922018
outer,72.5,0.008129035126190108,0.10930593566475306,0.6601476513574766,0.06525559069420622,0.2745967579483172,0.19156417296601363,0.0849697604107475,0.0718709648738099,0.08187096487380989
outer,75.0,0.008071177470053894,0.10705228570379806,0.6488045573047103,0.06619751055602718,0.2849979321392625,0.18944808832182292,0.08496501093914437,0.0719288225299461,0.0819288225299461
outer,77.5,0.008013731610437388,0.10484510108908088,0.6373302789367092,0.06708951861938389,0.29558020244390687,0.1873888650477785,0.08496026958150332,0.07198626838956261,0.0819862683895626
outer,80.0,0.007956694616416928,0.1026834238065184,0.6257342864526778,0.06792929463537062,0.30633641891195157,0.18538492452345948,0.0849555362502814,0.07204330538358307,0.08204330538358307
outer,82.5,0.007900063577929425,0.10056631559418819,0.6140263736715628,0.06871463858511784,0.31725898774331945,0.1834347254346408,0.08495081085914358,0.07209993642207058,0.08209993642207057
outer,85.0,0.007843835605623899,0.09849285753508195,0.6022166332229554,0.06944348028710418,0.32833988648994045,0.18153676341463512,0.08494609332294642,0.07215616439437611,0.08215616439437609
outer,87.5,0.007788007830714049,0.09646214965825564,0.5903154304087213,0.07011388849293815,0.33957068109834065,0.17968957065668495,0.08494138355772043,0.07221199216928595,0.08221199216928594
outer,90.0,0.007732577404831907,0.09447331054820295,0.5783333758483826,0.07072407941564629,0.35094254473597103,0.17789171549907518,0.08493668148065465,0.0722674225951681,0.08226742259516809
outer,92.5,0.0076775414998824934,0.09252547696228265,0.5662812970288682,0.07127242463775757,0.36244627833337417,0.17614180198468948,0.08493198701007935,0.07232245850011751,0.0823224585001175
outer,95.0,0.007622897307899537,0.0906178034560338,0.5541702088860796,0.07175745835011665,0.3740723327638038,0.17443846939677682,0.0849273000654511,0.07237710269210046,0.08237710269210045
outer,97.5,0.007568642040902204,0.08874946201621597,0.5420112835517876,0.07217788387640212,0.3858108325718102,0.17278039177271343,0.08492262056733589,0.0724313579590978,0.0824313579590978
outer,100.0,0.0075147729307528605,0.08691964170141564,0.5298158194045373,0.07253257944273894,0.3976516011527238,0.17116627739755855,0.08491794843739522,0.07248522706924714,0.08248522706924713
outer,102.5,0.007461287229015829,0.08512754829006229,0.5175952095675609,0.07282060315650868,0.4095841872759305,0.16959486827920014,0.08491328359836887,0.07253871277098417,0.08253871277098417
outer,105.0,0.007408182206817179,0.08337240393570168,0.5053609100000693,0.07304119716349561,0.42159789283643506,0.16806493960687105,0.08490862597406229,0.07259181779318283,0.08259181779318282
outer,107.5,0.00735545515470548,0.0816534468293768,0.4931244073307133,0.07319379095774703,0.4336818017115397,0.16657529919479355,0.08490397548932965,0.07264454484529452,0.08264454484529452
outer,110.0,0.007303103382513573,0.07996993086896947,0.4808971865834586,0.07327800382400551,0.4458248095925359,0.16512478691267835,0.08489933207006074,0.07269689661748643,0.08269689661748643
outer,112.5,0.007251124219221319,0.0783211253353598,0.46869069894660675,0.07329364639818231,0.45801565465521094,0.16371227410476163,0.08489469564316629,0.07274887578077868,0.08274887578077868
outer,115.0,0.007199515012819313,0.07670631457526214,0.4565163297351629,0.07324072133707504,0.4702429489277621,0.16233666299901778,0.08489006613656426,0.07280048498718068,0.08280048498718068
