stage,variable,center,metric,delta,lo,hi,n_target,n_pre,finite_draw_fraction
close-to-peak,log_sigma_star,8.125,T,-0.28075708168891444,-0.550650248807423,-0.0905135045126699,5,8,1.0
close-to-peak,log_sigma_star,8.125,F_SF,-0.12731707909664927,-0.3186453366630291,0.01270129216518266,5,8,1.0
close-to-peak,log_sigma_star,8.125,F_NSF,0.03255157695484118,-0.08065001946035816,0.13500025759120152,5,8,1.0
close-to-peak,log_sigma_star,8.125,I_NSF,-0.3214915686183559,-0.456355045745963,-0.18781073143734006,5,8,1.0
close-to-peak,log_sigma_star,8.125,J_NSF,-0.4195664025070016,-0.5738032506506741,-0.2025605719058413,5,8,1.0
close-to-peak,log_sigma_star,8.125,HA6562,-0.31333781842079134,-0.4333713217172524,-0.19554022889676675,5,8,1.0
close-to-peak,log_sigma_star,8.125,HB4861,-0.3126397764872877,-0.43204167270329547,-0.19516198652886943,5,8,1.0
close-to-peak,log_sigma_star,8.125,OIII5006,-0.3855456756727733,-0.4992874563074818,-0.25336250998282056,5,8,1.0
close-to-peak,log_sigma_star,8.125,NII6583,-0.1848745240630194,-0.29429673730063566,-0.08306867451402554,5,8,1.0
close-to-peak,log_sigma_star,8.125,SII_SUM,-0.26109544269989016,-0.3608766465770157,-0.16279320161076213,5,8,1.0
close-to-peak,log_sigma_star,8.125,F_ND,0.4408340294103582,0.13069254400545705,0.7664429710414312,5,8,0.9968
close-to-peak,log_sigma_star,8.375,O,-0.028452480057736956,-0.15995098228827762,0.08664364631698342,5,8,1.0
close-to-peak,log_sigma_star,8.375,I,-0.13952293522061,-0.26779238137389283,-0.01994334909412993,5,8,1.0
close-to-peak,log_sigma_star,8.375,T,-0.16797541527834703,-0.34212278037106575,-0.017336232383949376,5,8,1.0
close-to-peak,log_sigma_star,8.375,F_SF,-0.028452480057736956,-0.15995098228827762,0.08664364631698342,5,8,1.0
close-to-peak,log_sigma_star,8.375,F_NSF,0.002806926093680273,-0.11201889116516886,0.11477785230092787,5,8,1.0
close-to-peak,log_sigma_star,8.375,I_NSF,-0.3070662162832747,-0.4530180885342088,-0.12784373591395254,5,8,1.0
close-to-peak,log_sigma_star,8.375,J_NSF,-0.3740051620977667,-0.5429686319727088,-0.10027700785407063,5,8,1.0
close-to-peak,log_sigma_star,8.375,HA6562,-0.2994761377843318,-0.4393309051562033,-0.12972485121963048,5,8,1.0
close-to-peak,log_sigma_star,8.375,HB4861,-0.2989149938994444,-0.4387601718372883,-0.1292308933972322,5,8,1.0
close-to-peak,log_sigma_star,8.375,OIII5006,-0.4162176119995493,-0.5592609613229902,-0.21499293655510543,5,8,1.0
close-to-peak,log_sigma_star,8.375,NII6583,-0.15244134163855705,-0.2610819068835738,-0.0382788719559909,5,8,1.0
close-to-peak,log_sigma_star,8.375,SII_SUM,-0.25336337654783847,-0.3735740921098011,-0.11030755872196552,5,8,1.0
close-to-peak,log_sigma_star,8.375,F_ND,0.2132596142366594,-0.4658611888188231,0.5755826316679367,5,8,0.986
close-to-peak,log_sigma_star,8.625,O,0.07668051574818527,-0.07162691656973559,0.23760030894875117,5,7,1.0
close-to-peak,log_sigma_star,8.625,I,-0.16431919066897827,-0.47433683484273187,0.01015559567256521,5,7,1.0
close-to-peak,log_sigma_star,8.625,T,-0.08763867492079291,-0.4698642263759867,0.16780006602430972,5,7,1.0
close-to-peak,log_sigma_star,8.625,F_SF,0.07668051574818527,-0.07162691656973559,0.23760030894875117,5,7,1.0
close-to-peak,log_sigma_star,8.625,F_NSF,-0.09307158092687612,-0.2696862633990567,0.07587680794213617,5,7,1.0
close-to-peak,log_sigma_star,8.625,I_NSF,-0.22979817257318302,-0.44886876406269177,0.12788167406282752,5,6,1.0
close-to-peak,log_sigma_star,8.625,J_NSF,-0.29085188246112637,-0.5000361401982933,0.0368697288577772,5,7,1.0
close-to-peak,log_sigma_star,8.625,HA6562,-0.23361930700638567,-0.4505785614369924,0.1137476376358708,5,6,1.0
close-to-peak,log_sigma_star,8.625,HB4861,-0.23355901004970292,-0.4504392210894386,0.11368424318729975,5,6,1.0
close-to-peak,log_sigma_star,8.625,OIII5006,-0.5166728573373192,-0.7263451315411288,-0.0876802833676851,5,6,1.0
close-to-peak,log_sigma_star,8.625,NII6583,-0.16524579019807817,-0.29613955172489626,-0.020292267131510475,5,6,1.0
