b,SFR_Msun_per_yr,epsilon_per_Gyr,gas_to_stellar_mass,Z_mass_fraction,age_Gyr,inflow_Msun_per_yr
1.500000000000000000e+00,2.319961031130011619e+01,4.453854577985688623e-01,1.039308925910992665e+00,9.305425094744353837e-03,5.598806004801545555e+00,2.528870561246548831e+01
1.500000000000000000e+00,2.332569514994848703e+01,4.490212462827593010e-01,1.036496176705116623e+00,9.315646455914552981e-03,5.565752629304600241e+00,2.541355946950608313e+01
1.500000000000000000e+00,2.345177998859685786e+01,4.526668745492638535e-01,1.033706141558989877e+00,9.325800589131473181e-03,5.533069774674350683e+00,2.553840059717082056e+01
1.500000000000000000e+00,2.357786482724522514e+01,4.563223161112143211e-01,1.030938516400920157e+00,9.335888203565952809e-03,5.500751345619484312e+00,2.566322920785729167e+01
1.500000000000000000e+00,2.370394966589359598e+01,4.599875446944916013e-01,1.028193002827693769e+00,9.345909997621904691e-03,5.468791378785684110e+00,2.578804551036136417e+01
1.500000000000000000e+00,2.383003450454196681e+01,4.636625342348927314e-01,1.025469307969429922e+00,9.355866659152374185e-03,5.437184039220547938e+00,2.591284970995190662e+01
1.500000000000000000e+00,2.395611934319033764e+01,4.673472588753504464e-01,1.022767144358356584e+00,9.365758865670171032e-03,5.405923616951247013e+00,2.603764200844358712e+01
1.500000000000000000e+00,2.408220418183870848e+01,4.710416929632043614e-01,1.020086229801366651e+00,9.375587284553283177e-03,5.375004523670765977e+00,2.616242260426789201e+01
1.500000000000000000e+00,2.420828902048707931e+01,4.747458110475215043e-01,1.017426287256231854e+00,9.385352573245164462e-03,5.344421289528728636e+00,2.628719169254230437e+01
1.500000000000000000e+00,2.433437385913544659e+01,4.784595878764665300e-01,1.014787044711347175e+00,9.395055379450126948e-03,5.314168560022999976e+00,2.641194946513780550e+01
1.500000000000000000e+00,2.446045869778381743e+01,4.821829983947190645e-01,1.012168235068891198e+00,9.404696341323907222e-03,5.284241092988367861e+00,2.653669611074469614e+01
1.500000000000000000e+00,2.458654353643218826e+01,4.859160177409382331e-01,1.009569596031283600e+00,9.414276087659609674e-03,5.254633755678835172e+00,2.666143181493675840e+01
1.500000000000000000e+00,2.471262837508055910e+01,4.896586212452722631e-01,1.006990869990834758e+00,9.423795238069111735e-03,5.225341521940103817e+00,2.678615676023389369e+01
1.500000000000000000e+00,2.483871321372892993e+01,4.934107844269131071e-01,1.004431803922478883e+00,9.433254403160111490e-03,5.196359469469071790e+00,2.691087112616318677e+01
1.500000000000000000e+00,2.496479805237729721e+01,4.971724829916940869e-01,1.001892149279491440e+00,9.442654184708890522e-03,5.167682777157188490e+00,2.703557508931850606e+01
1.500000000000000000e+00,2.509088289102566804e+01,5.009436928297303915e-01,9.993716618920934769e-01,9.451995175828977608e-03,5.139306722514733750e+00,2.716026882341867221e+01
1.500000000000000000e+00,2.521696772967403888e+01,5.047243900131009875e-01,9.968701018688443938e-01,9.461277961135756628e-03,5.111226679173152654e+00,2.728495249936418787e+01
1.500000000000000000e+00,2.534305256832240971e+01,5.085145507935713294e-01,9.943872335007394314e-01,9.470503116907218188e-03,5.083438114462701662e+00,2.740962628529263512e+01
1.500000000000000000e+00,2.546913740697078055e+01,5.123141516003554274e-01,9.919228251679204078e-01,9.479671211240891376e-03,5.055936587062777932e+00,2.753429034663274422e+01
1.500000000000000000e+00,2.559522224561914783e+01,5.161231690379168846e-01,9.894766492489183163e-01,9.488782804207090971e-03,5.028717744722406735e+00,2.765894484615716920e+01
1.500000000000000000e+00,2.572130708426751866e+01,5.199415798838082914e-01,9.870484820323431885e-01,9.497838447998617137e-03,5.001777322048453378e+00,2.778358994403404836e+01
1.500000000000000000e+00,2.584739192291588950e+01,5.237693610865472582e-01,9.846381036309488355e-01,9.506838687076938840e-03,4.975111138359240570e+00,2.790822579787728586e+01
1.500000000000000000e+00,2.597347676156426033e+01,5.276064897635285300e-01,9.822452978979936411e-01,9.515784058315024038e-03,4.948715095601318836e+00,2.803285256279571769e+01
1.500000000000000000e+00,2.609956160021263116e+01,5.314529431989724051e-01,9.798698523458266862e-01,9.524675091136861754e-03,4.922585176327236134e+00,2.815747039144109110e+01
1.500000000000000000e+00,2.622564643886100200e+01,5.353086988419075709e-01,9.775115580666280390e-01,9.533512307653800935e-03,4.896717441732252318e+00,2.828207943405495328e+01
1.500000000000000000e+00,2.635173127750937638e+01,5.391737343041874686e-01,9.751702096552391508e-01,9.542296222797772010e-03,4.871108029747980517e+00,2.840667983851444234e+01
1.500000000000000000e+00,2.647781611615774722e+01,5.430480273585399642e-01,9.728456051340168553e-01,9.551027344451484824e-03,4.845753153191074247e+00,2.853127175037702656e+01
1.500000000000000000e+00,2.660390095480611805e+01,5.469315559366507706e-01,9.705375458796458021e-01,9.559706173575687957e-03,4.820649097965092444e+00,2.865585531292419930e+01
1.500000000000000000e+00,2.672998579345448533e+01,5.508242981272771788e-01,9.682458365518543664e-01,9.568333204333558800e-03,4.795792221313789128e+00,2.878043066720423582e+01
