log_Sigma_M,log_Sigma_SFR,O_H,Delta_log_Sigma_SFR,Delta_O_H
7.830796603025033,-3.302637730085798,8.493938851381872,-0.7801521051334008,-0.04684081002112883
7.830796603025033,-3.302637730085798,8.493938851381872,-0.7801521051334008,-0.04684081002112883
7.830796603025033,-3.302637730085798,8.493938851381872,-0.7801521051334008,-0.04684081002112883
7.830796603025033,-3.302637730085798,8.493938851381872,-0.7801521051334008,-0.04684081002112883
7.830796603025033,-3.302637730085798,8.493938851381872,-0.7801521051334008,-0.04684081002112883
7.830796603025033,-3.302637730085798,8.493938851381872,-0.7801521051334008,-0.04684081002112883
7.830796603025033,-3.302637730085798,8.493938851381872,-0.7801521051334008,-0.04684081002112883
7.830796603025033,-3.302637730085798,8.493938851381872,-0.7801521051334008,-0.04684081002112883
7.830796603025033,-3.302637730085798,8.493938851381872,-0.7801521051334008,-0.04684081002112883
7.830796603025033,-3.302637730085798,8.493938851381872,-0.7801521051334008,-0.04684081002112883
7.830796603025033,-3.302637730085798,8.493938851381872,-0.7801521051334008,-0.04684081002112883
7.830796603025033,-3.302637730085798,8.493938851381872,-0.7801521051334008,-0.04684081002112883
7.726984031240238,-3.2924948605288433,8.493669425003842,-0.7700092355764463,-0.04711023639915801
7.726984031240238,-3.2924948605288433,8.493669425003842,-0.7700092355764463,-0.04711023639915801
7.726984031240238,-3.2924948605288433,8.493669425003842,-0.7700092355764463,-0.04711023639915801
7.726984031240238,-3.2924948605288433,8.493669425003842,-0.7700092355764463,-0.04711023639915801
7.726984031240238,-3.2924948605288433,8.493669425003842,-0.7700092355764463,-0.04711023639915801
7.726984031240238,-3.2924948605288433,8.493669425003842,-0.7700092355764463,-0.04711023639915801
7.759285757748265,-3.2895539174589925,8.535607820448538,-0.7670682925065955,-0.005171840954462326
7.759285757748265,-3.2895539174589925,8.535607820448538,-0.7670682925065955,-0.005171840954462326
7.759285757748265,-3.2895539174589925,8.535607820448538,-0.7670682925065955,-0.005171840954462326
7.759285757748265,-3.2895539174589925,8.535607820448538,-0.7670682925065955,-0.005171840954462326
7.759285757748265,-3.2895539174589925,8.535607820448538,-0.7670682925065955,-0.005171840954462326
7.759285757748265,-3.2895539174589925,8.535607820448538,-0.7670682925065955,-0.005171840954462326
7.759285757748265,-3.2895539174589925,8.535607820448538,-0.7670682925065955,-0.005171840954462326
7.759285757748265,-3.2895539174589925,8.535607820448538,-0.7670682925065955,-0.005171840954462326
7.661360333659073,-3.2803357192329248,8.558125448900766,-0.7578500942805277,0.017345787497765386
7.661360333659073,-3.2803357192329248,8.558125448900766,-0.7578500942805277,0.017345787497765386
7.661360333659073,-3.2803357192329248,8.558125448900766,-0.7578500942805277,0.017345787497765386
7.661360333659073,-3.2803357192329248,8.558125448900766,-0.7578500942805277,0.017345787497765386
7.661360333659073,-3.2803357192329248,8.558125448900766,-0.7578500942805277,0.017345787497765386
7.661360333659073,-3.2803357192329248,8.558125448900766,-0.7578500942805277,0.017345787497765386
7.661360333659073,-3.2803357192329248,8.558125448900766,-0.7578500942805277,0.017345787497765386
7.661360333659073,-3.2803357192329248,8.558125448900766,-0.7578500942805277,0.017345787497765386
7.661360333659073,-3.2803357192329248,8.558125448900766,-0.7578500942805277,0.017345787497765386
7.661360333659073,-3.2803357192329248,8.558125448900766,-0.7578500942805277,0.017345787497765386
7.793100757973237,-3.277904418981805,8.533222068703278,-0.7554187940294081,-0.0075575926997224485
7.793100757973237,-3.277904418981805,8.533222068703278,-0.7554187940294081,-0.0075575926997224485
7.793100757973237,-3.277904418981805,8.533222068703278,-0.7554187940294081,-0.0075575926997224485
7.793100757973237,-3.277904418981805,8.533222068703278,-0.7554187940294081,-0.0075575926997224485
7.793100757973237,-3.277904418981805,8.533222068703278,-0.7554187940294081,-0.0075575926997224485
7.793100757973237,-3.277904418981805,8.533222068703278,-0.7554187940294081,-0.0075575926997224485
7.793100757973237,-3.277904418981805,8.533222068703278,-0.7554187940294081,-0.0075575926997224485
7.793100757973237,-3.277904418981805,8.533222068703278,-0.7554187940294081,-0.0075575926997224485
7.793100757973237,-3.277904418981805,8.533222068703278,-0.7554187940294081,-0.0075575926997224485
7.793100757973237,-3.277904418981805,8.533222068703278,-0.7554187940294081,-0.0075575926997224485
7.725604162692617,-3.273371613501394,8.522658423192388,-0.7508859885489971,-0.018121238210612844
7.725604162692617,-3.273371613501394,8.522658423192388,-0.7508859885489971,-0.018121238210612844
7.725604162692617,-3.273371613501394,8.522658423192388,-0.7508859885489971,-0.018121238210612844
7.725604162692617,-3.273371613501394,8.522658423192388,-0.7508859885489971,-0.018121238210612844
7.725604162692617,-3.273371613501394,8.522658423192388,-0.7508859885489971,-0.018121238210612844
7.725604162692617,-3.273371613501394,8.522658423192388,-0.7508859885489971,-0.018121238210612844
7.725604162692617,-3.273371613501394,8.522658423192388,-0.7508859885489971,-0.018121238210612844
7.725604162692617,-3.273371613501394,8.522658423192388,-0.7508859885489971,-0.018121238210612844
7.725604162692617,-3.273371613501394,8.522658423192388,-0.7508859885489971,-0.018121238210612844
7.725604162692617,-3.273371613501394,8.522658423192388,-0.7508859885489971,-0.018121238210612844
7.725604162692617,-3.273371613501394,8.522658423192388,-0.7508859885489971,-0.018121238210612844
7.755410071346902,-3.2730317083340155,8.47497531369464,-0.7505460833816184,-0.06580434770835986
7.755410071346902,-3.2730317083340155,8.47497531369464,-0.7505460833816184,-0.06580434770835986
7.755410071346902,-3.2730317083340155,8.47497531369464,-0.7505460833816184,-0.06580434770835986
7.755410071346902,-3.2730317083340155,8.47497531369464,-0.7505460833816184,-0.06580434770835986
7.755410071346902,-3.2730317083340155,8.47497531369464,-0.7505460833816184,-0.06580434770835986
7.755410071346902,-3.2730317083340155,8.47497531369464,-0.7505460833816184,-0.06580434770835986
7.755410071346902,-3.2730317083340155,8.47497531369464,-0.7505460833816184,-0.06580434770835986
7.755410071346902,-3.2730317083340155,8.47497531369464,-0.7505460833816184,-0.06580434770835986
7.755410071346902,-3.2730317083340155,8.47497531369464,-0.7505460833816184,-0.06580434770835986
7.755410071346902,-3.2730317083340155,8.47497531369464,-0.7505460833816184,-0.06580434770835986
7.755410071346902,-3.2730317083340155,8.47497531369464,-0.7505460833816184,-0.06580434770835986
7.755410071346902,-3.2730317083340155,8.47497531369464,-0.7505460833816184,-0.06580434770835986
7.755410071346902,-3.2730317083340155,8.47497531369464,-0.7505460833816184,-0.06580434770835986
