stage,variable,bin_left,bin_right,center,category,N_gal_usable,j_mean,in_fixed_reliable_range
post-peak,radius_re,0.75,1.0,0.875,ND,13,1.3751497475800624e+37,True
post-peak,radius_re,1.0,1.25,1.125,SF,13,1.2755435108929815e+38,True
post-peak,radius_re,1.0,1.25,1.125,NSF,13,1.7577535986142338e+38,True
post-peak,radius_re,1.0,1.25,1.125,ND,13,1.6225806694442635e+37,True
post-peak,radius_re,1.25,1.5,1.375,SF,13,1.5061644152918176e+38,True
post-peak,radius_re,1.25,1.5,1.375,NSF,13,9.59110288312825e+37,True
post-peak,radius_re,1.25,1.5,1.375,ND,13,1.5170884767284145e+37,True
post-peak,radius_re,1.5,1.75,1.625,SF,12,7.843663750886569e+37,True
post-peak,radius_re,1.5,1.75,1.625,NSF,12,5.367881758856205e+37,True
post-peak,radius_re,1.5,1.75,1.625,ND,12,1.376062677891039e+37,True
post-peak,radius_re,1.75,2.0,1.875,SF,10,1.996007256781076e+37,True
post-peak,radius_re,1.75,2.0,1.875,NSF,10,3.175846416731094e+37,True
post-peak,radius_re,1.75,2.0,1.875,ND,10,1.348622783867807e+37,True
post-peak,radius_re,2.0,2.25,2.125,SF,7,5.461797954971325e+36,True
post-peak,radius_re,2.0,2.25,2.125,NSF,7,2.342285585455471e+37,True
post-peak,radius_re,2.0,2.25,2.125,ND,7,1.4751669462221475e+37,True
post-peak,radius_re,2.25,2.5,2.375,SF,5,2.4901862025349603e+36,True
post-peak,radius_re,2.25,2.5,2.375,NSF,5,1.3642397267076302e+37,True
post-peak,radius_re,2.25,2.5,2.375,ND,5,1.654881334185657e+37,True
post-peak,radius_re,2.5,2.75,2.625,SF,3,0.0,False
post-peak,radius_re,2.5,2.75,2.625,NSF,3,9.752946416213047e+36,False
post-peak,radius_re,2.5,2.75,2.625,ND,3,1.808772551778575e+37,False
post-peak,radius_re,2.75,3.0,2.875,SF,2,0.0,False
post-peak,radius_re,2.75,3.0,2.875,NSF,2,1.1387409192262367e+37,False
post-peak,radius_re,2.75,3.0,2.875,ND,2,1.9354227459742755e+37,False
post-peak,radius_re,3.0,3.25,3.125,SF,2,0.0,False
post-peak,radius_re,3.0,3.25,3.125,NSF,2,5.18717007641263e+36,False
post-peak,radius_re,3.0,3.25,3.125,ND,2,2.0201094361381032e+37,False
post-peak,radius_re,3.25,3.5,3.375,SF,2,0.0,False
post-peak,radius_re,3.25,3.5,3.375,NSF,2,1.1731070315363944e+36,False
post-peak,radius_re,3.25,3.5,3.375,ND,2,1.8914054550805762e+37,False
post-peak,radius_re,3.5,3.75,3.625,SF,2,0.0,False
post-peak,radius_re,3.5,3.75,3.625,NSF,2,2.2130732083339203e+36,False
post-peak,radius_re,3.5,3.75,3.625,ND,2,1.668957972814724e+37,False
post-peak,radius_re,3.75,4.0,3.875,SF,2,0.0,False
post-peak,radius_re,3.75,4.0,3.875,NSF,2,6.227726003243187e+36,False
post-peak,radius_re,3.75,4.0,3.875,ND,2,1.37956764724361e+37,False
post-peak,radius_re,4.0,4.25,4.125,SF,1,0.0,False
post-peak,radius_re,4.0,4.25,4.125,NSF,1,0.0,False
post-peak,radius_re,4.0,4.25,4.125,ND,1,2.0556865232991977e+37,False
post-peak,radius_re,4.25,4.5,4.375,SF,1,0.0,False
post-peak,radius_re,4.25,4.5,4.375,NSF,1,0.0,False
post-peak,radius_re,4.25,4.5,4.375,ND,1,2.0556865232991975e+37,False
post-peak,radius_re,4.5,4.75,4.625,SF,1,0.0,False
post-peak,radius_re,4.5,4.75,4.625,NSF,1,0.0,False
post-peak,radius_re,4.5,4.75,4.625,ND,1,2.0556865232991975e+37,False
post-peak,radius_re,4.75,5.0,4.875,SF,0,,False
post-peak,radius_re,4.75,5.0,4.875,NSF,0,,False
post-peak,radius_re,4.75,5.0,4.875,ND,0,,False
post-peak,radius_re,5.0,5.25,5.125,SF,0,,False
post-peak,radius_re,5.0,5.25,5.125,NSF,0,,False
post-peak,radius_re,5.0,5.25,5.125,ND,0,,False
post-peak,radius_re,5.25,5.5,5.375,SF,0,,False
post-peak,radius_re,5.25,5.5,5.375,NSF,0,,False
post-peak,radius_re,5.25,5.5,5.375,ND,0,,False
post-peak,radius_re,5.5,5.75,5.625,SF,0,,False
post-peak,radius_re,5.5,5.75,5.625,NSF,0,,False
post-peak,radius_re,5.5,5.75,5.625,ND,0,,False
post-peak,radius_re,5.75,6.0,5.875,SF,0,,False
post-peak,radius_re,5.75,6.0,5.875,NSF,0,,False
post-peak,radius_re,5.75,6.0,5.875,ND,0,,False
post-peak,radius_re,6.0,6.25,6.125,SF,0,,False
post-peak,radius_re,6.0,6.25,6.125,NSF,0,,False
post-peak,radius_re,6.0,6.25,6.125,ND,0,,False
post-peak,radius_re,6.25,6.5,6.375,SF,0,,False
post-peak,radius_re,6.25,6.5,6.375,NSF,0,,False
post-peak,radius_re,6.25,6.5,6.375,ND,0,,False
post-peak,radius_re,6.5,6.75,6.625,SF,0,,False
post-peak,radius_re,6.5,6.75,6.625,NSF,0,,False
post-peak,radius_re,6.5,6.75,6.625,ND,0,,False
post-peak,radius_re,6.75,7.0,6.875,SF,0,,False
post-peak,radius_re,6.75,7.0,6.875,NSF,0,,False
post-peak,radius_re,6.75,7.0,6.875,ND,0,,False
post-peak,radius_re,7.0,7.25,7.125,SF,0,,False
post-peak,radius_re,7.0,7.25,7.125,NSF,0,,False
post-peak,radius_re,7.0,7.25,7.125,ND,0,,False
post-peak,radius_re,7.25,7.5,7.375,SF,0,,False
post-peak,radius_re,7.25,7.5,7.375,NSF,0,,False
post-peak,radius_re,7.25,7.5,7.375,ND,0,,False
post-peak,radius_re,7.5,7.75,7.625,SF,0,,False
post-peak,radius_re,7.5,7.75,7.625,NSF,0,,False
post-peak,radius_re,7.5,7.75,7.625,ND,0,,False
post-peak,radius_re,7.75,8.0,7.875,SF,0,,False
post-peak,radius_re,7.75,8.0,7.875,NSF,0,,False
post-peak,radius_re,7.75,8.0,7.875,ND,0,,False
pre-peak,log_sigma_star,5.75,6.0,5.875,SF,0,,False
pre-peak,log_sigma_star,5.75,6.0,5.875,NSF,0,,False
pre-peak,log_sigma_star,5.75,6.0,5.875,ND,0,,False
pre-peak,log_sigma_star,6.0,6.25,6.125,SF,0,,False
pre-peak,log_sigma_star,6.0,6.25,6.125,NSF,0,,False
pre-peak,log_sigma_star,6.0,6.25,6.125,ND,0,,False
pre-peak,log_sigma_star,6.25,6.5,6.375,SF,1,0.0,False
pre-peak,log_sigma_star,6.25,6.5,6.375,NSF,1,5.064376809238342e+37,False
pre-peak,log_sigma_star,6.25,6.5,6.375,ND,1,0.0,False
pre-peak,log_sigma_star,6.5,6.75,6.625,SF,2,4.3603065745606495e+38,False
pre-peak,log_sigma_star,6.5,6.75,6.625,NSF,2,3.267140609056618e+37,False
pre-peak,log_sigma_star,6.5,6.75,6.625,ND,2,0.0,False
pre-peak,log_sigma_star,6.75,7.0,6.875,SF,3,3.101973204751985e+38,False
pre-peak,log_sigma_star,6.75,7.0,6.875,NSF,3,4.2076647099925e+37,False
pre-peak,log_sigma_star,6.75,7.0,6.875,ND,3,8.542826097187448e+36,False
pre-peak,log_sigma_star,7.0,7.25,7.125,SF,5,3.1422710856287993e+38,True
pre-peak,log_sigma_star,7.0,7.25,7.125,NSF,5,7.12655671223513e+37,True
pre-peak,log_sigma_star,7.0,7.25,7.125,ND,5,4.332905207716571e+36,True
pre-peak,log_sigma_star,7.25,7.5,7.375,SF,8,5.581196581530982e+38,True
pre-peak,log_sigma_star,7.25,7.5,7.375,NSF,8,7.037111869378549e+37,True
pre-peak,log_sigma_star,7.25,7.5,7.375,ND,8,1.0474271211913802e+37,True
pre-peak,log_sigma_star,7.5,7.75,7.625,SF,8,8.155887787933167e+38,True
pre-peak,log_sigma_star,7.5,7.75,7.625,NSF,8,1.1770916315846672e+38,True
pre-peak,log_sigma_star,7.5,7.75,7.625,ND,8,9.55734192140331e+36,True
pre-peak,log_sigma_star,7.75,8.0,7.875,SF,8,1.705314196390675e+39,True
pre-peak,log_sigma_star,7.75,8.0,7.875,NSF,8,1.9267439109047442e+38,True
pre-peak,log_sigma_star,7.75,8.0,7.875,ND,8,6.336132595603308e+36,True
pre-peak,log_sigma_star,8.0,8.25,8.125,SF,8,2.966147954953088e+39,True
pre-peak,log_sigma_star,8.0,8.25,8.125,NSF,8,3.323343864780533e+38,True
pre-peak,log_sigma_star,8.0,8.25,8.125,ND,8,4.5547578603743303e+36,True
pre-peak,log_sigma_star,8.25,8.5,8.375,SF,8,4.8125695808554787e+39,True
pre-peak,log_sigma_star,8.25,8.5,8.375,NSF,8,5.8287640963803814e+38,True
pre-peak,log_sigma_star,8.25,8.5,8.375,ND,8,4.1916802703516e+36,True
pre-peak,log_sigma_star,8.5,8.75,8.625,SF,7,9.125862392251363e+39,True
