stage,variable,center,metric,delta,lo,hi,n_target,n_pre,finite_draw_fraction
close-to-peak,radius_re,0.625,I_NSF,-0.6665430857743786,-0.9360747676988501,-0.04711293714917618,5,8,1.0
close-to-peak,radius_re,0.625,J_NSF,-0.6331684055698474,-0.9486444263344873,0.11548181103406391,5,8,1.0
close-to-peak,radius_re,0.625,HA6562,-0.6673606038617663,-0.9293552020125364,-0.09336483300139635,5,8,1.0
close-to-peak,radius_re,0.625,HB4861,-0.666925568467974,-0.9286446915517464,-0.09293757744163145,5,8,1.0
close-to-peak,radius_re,0.625,OIII5006,-0.7640458202617069,-1.0395364750833849,-0.04351304062766902,5,8,1.0
close-to-peak,radius_re,0.625,NII6583,-0.3463394974712344,-0.5958199532919627,-0.04481676313151781,5,8,1.0
close-to-peak,radius_re,0.625,SII_SUM,-0.539100459543647,-0.7715364424976139,-0.05501514707588516,5,8,1.0
close-to-peak,radius_re,0.625,F_ND,0.07633110895030559,-0.3025386451374967,0.4819506166439813,5,8,0.9995
close-to-peak,radius_re,0.875,O,-0.15096099861716084,-0.3514298422254034,-0.004654270053554625,5,8,0.9997
close-to-peak,radius_re,0.875,I,-0.2960749702584844,-0.46141200124509524,-0.10682776846609911,4,8,0.9997
close-to-peak,radius_re,0.875,T,-0.4470359688756451,-0.6994911564104388,-0.2199936811511627,5,8,0.9997
close-to-peak,radius_re,0.875,F_SF,-0.15096099861716084,-0.3514298422254034,-0.004654270053554625,5,8,0.9997
close-to-peak,radius_re,0.875,F_NSF,0.12087335680779876,0.04102108440122891,0.19380022419089477,5,8,1.0
close-to-peak,radius_re,0.875,I_NSF,-0.45699230131681645,-0.7434952265659425,-0.12891611983526274,5,8,1.0
close-to-peak,radius_re,0.875,J_NSF,-0.4146891262825321,-0.7401155245012967,0.008621896786658277,5,8,1.0
close-to-peak,radius_re,0.875,HA6562,-0.4618901025644675,-0.7205578649256992,-0.1733375839607868,5,8,1.0
close-to-peak,radius_re,0.875,HB4861,-0.46106344848719516,-0.7185269587560321,-0.17269558271697835,5,8,1.0
close-to-peak,radius_re,0.875,OIII5006,-0.5118116576603171,-0.7548246985542988,-0.1513186045465594,5,8,1.0
close-to-peak,radius_re,0.875,NII6583,-0.24399900708450417,-0.521218300560063,-0.026491905980342394,5,8,1.0
close-to-peak,radius_re,0.875,SII_SUM,-0.41330848370129303,-0.6080642037875108,-0.16064734685514198,5,8,1.0
close-to-peak,radius_re,0.875,F_ND,0.17360332702058012,-0.1535675415567758,0.4316640629810898,5,8,0.9998
close-to-peak,radius_re,1.125,O,-0.15980768553483238,-0.3626719034331889,-0.010633242950518377,5,8,0.9995
close-to-peak,radius_re,1.125,I,-0.26398852220474334,-0.43231655752720827,-0.11709192228120759,4,8,0.9995
close-to-peak,radius_re,1.125,T,-0.4237962077395758,-0.6918638380349942,-0.2257711708341176,5,8,0.9995
close-to-peak,radius_re,1.125,F_SF,-0.15980768553483238,-0.3626719034331889,-0.010633242950518377,5,8,0.9995
close-to-peak,radius_re,1.125,F_NSF,0.07851463742998521,-0.012735363869267262,0.16951384737461112,5,8,1.0
close-to-peak,radius_re,1.125,I_NSF,-0.466372493187869,-0.7189516313372636,-0.22671899530394857,5,8,1.0
close-to-peak,radius_re,1.125,J_NSF,-0.5132978262624732,-0.8030601357946037,-0.16223173757348067,5,8,1.0
close-to-peak,radius_re,1.125,HA6562,-0.43082920292868465,-0.6407022970493808,-0.2366490839623569,5,8,1.0
close-to-peak,radius_re,1.125,HB4861,-0.4298969315723937,-0.6388728742032979,-0.23592832149159193,5,8,1.0
close-to-peak,radius_re,1.125,OIII5006,-0.41371864868124675,-0.602543584650416,-0.20790566931087712,5,8,1.0
close-to-peak,radius_re,1.125,NII6583,-0.2629448679925588,-0.485999163308912,-0.07836953742175357,5,8,1.0
close-to-peak,radius_re,1.125,SII_SUM,-0.3656124901780302,-0.5195774404014787,-0.20345342741515027,5,8,1.0
close-to-peak,radius_re,1.125,F_ND,0.20442988908964688,-0.07730635723080914,0.5116068293092486,5,8,1.0
close-to-peak,radius_re,1.375,O,-0.27478888909931865,-0.4773067506085281,-0.11571169109010267,5,8,0.9882
close-to-peak,radius_re,1.375,I,-0.2129454399008519,-0.3500088056749538,-0.06595985858645541,3,8,0.9882
close-to-peak,radius_re,1.375,T,-0.48773432900017033,-0.7229346968572371,-0.28562791592969095,5,8,0.9882
close-to-peak,radius_re,1.375,F_SF,-0.27478888909931865,-0.4773067506085281,-0.11571169109010267,5,8,0.9882
close-to-peak,radius_re,1.375,F_NSF,0.05127751240775358,-0.11179191104149924,0.21509399970991336,5,8,1.0
close-to-peak,radius_re,1.375,I_NSF,-0.5103468767938821,-0.6782424586575917,-0.3458076256236484,5,8,1.0
close-to-peak,radius_re,1.375,J_NSF,-0.5721005310008351,-0.9008597305826515,-0.20915095836231676,5,8,1.0
close-to-peak,radius_re,1.375,HA6562,-0.4386600791954862,-0.6556591928129731,-0.28009971230516156,5,8,1.0
close-to-peak,radius_re,1.375,HB4861,-0.4381576079983063,-0.6547373785482133,-0.2800096468474999,5,8,1.0
close-to-peak,radius_re,1.375,OIII5006,-0.26841386452848326,-0.5546647063487572,-0.07926325257231445,5,8,1.0
