stage,variable,bin_left,bin_right,center,category,line,N_gal_support,mean_line_surface,in_fixed_reliable_range
close-to-peak,log_sigma_star,10.5,10.75,10.625,NSF,HB4861,1,1.2824514295611714e+40,False
close-to-peak,log_sigma_star,10.75,11.0,10.875,SF,HA6562,0,,False
close-to-peak,log_sigma_star,10.75,11.0,10.875,SF,OIII5006,0,,False
close-to-peak,log_sigma_star,10.75,11.0,10.875,SF,NII6583,0,,False
close-to-peak,log_sigma_star,10.75,11.0,10.875,SF,SII_SUM,0,,False
close-to-peak,log_sigma_star,10.75,11.0,10.875,SF,HB4861,0,,False
close-to-peak,log_sigma_star,10.75,11.0,10.875,NSF,HA6562,0,,False
close-to-peak,log_sigma_star,10.75,11.0,10.875,NSF,OIII5006,0,,False
close-to-peak,log_sigma_star,10.75,11.0,10.875,NSF,NII6583,0,,False
close-to-peak,log_sigma_star,10.75,11.0,10.875,NSF,SII_SUM,0,,False
close-to-peak,log_sigma_star,10.75,11.0,10.875,NSF,HB4861,0,,False
close-to-peak,log_sigma_star,11.0,11.25,11.125,SF,HA6562,0,,False
close-to-peak,log_sigma_star,11.0,11.25,11.125,SF,OIII5006,0,,False
close-to-peak,log_sigma_star,11.0,11.25,11.125,SF,NII6583,0,,False
close-to-peak,log_sigma_star,11.0,11.25,11.125,SF,SII_SUM,0,,False
close-to-peak,log_sigma_star,11.0,11.25,11.125,SF,HB4861,0,,False
close-to-peak,log_sigma_star,11.0,11.25,11.125,NSF,HA6562,0,,False
close-to-peak,log_sigma_star,11.0,11.25,11.125,NSF,OIII5006,0,,False
close-to-peak,log_sigma_star,11.0,11.25,11.125,NSF,NII6583,0,,False
close-to-peak,log_sigma_star,11.0,11.25,11.125,NSF,SII_SUM,0,,False
close-to-peak,log_sigma_star,11.0,11.25,11.125,NSF,HB4861,0,,False
close-to-peak,radius_re,0.0,0.25,0.125,SF,HA6562,5,2.0900725674610447e+40,True
close-to-peak,radius_re,0.0,0.25,0.125,SF,OIII5006,5,2.0783992587064017e+39,True
close-to-peak,radius_re,0.0,0.25,0.125,SF,NII6583,5,6.966174411717041e+39,True
close-to-peak,radius_re,0.0,0.25,0.125,SF,SII_SUM,5,5.289857229187111e+39,True
close-to-peak,radius_re,0.0,0.25,0.125,SF,HB4861,5,7.307946040073575e+39,True
close-to-peak,radius_re,0.0,0.25,0.125,NSF,HA6562,5,6.504770306265471e+39,True
close-to-peak,radius_re,0.0,0.25,0.125,NSF,OIII5006,5,1.2888840050922761e+39,True
close-to-peak,radius_re,0.0,0.25,0.125,NSF,NII6583,5,3.094117201255219e+39,True
close-to-peak,radius_re,0.0,0.25,0.125,NSF,SII_SUM,5,2.3083029185508634e+39,True
