stage,variable,center,metric,value,lo,hi,n_support,zero_draw_fraction,nonfinite_draw_fraction
pre-peak,log_sigma_star,9.375,SII_SUM,1.9173315335647596e+40,1.0578096489604745e+40,2.7180793117545387e+40,6,0.0,0.0
pre-peak,log_sigma_star,9.375,F_ND,0.0,0.0,0.0,6,1.0,0.0
pre-peak,radius_re,0.125,O,0.5154533149862963,0.3959390785086714,0.6328106332345296,8,0.0,0.0
pre-peak,radius_re,0.125,I,0.2480826626981458,0.08591153311848891,0.41846586459943685,8,0.0,0.0
pre-peak,radius_re,0.125,T,0.12787503087838645,0.04231683441883541,0.21315064344668544,8,0.0,0.0
pre-peak,radius_re,0.125,F_SF,0.5154533149862963,0.3959390785086714,0.6328106332345296,8,0.0,0.0
pre-peak,radius_re,0.125,F_NSF,0.472201841184451,0.359768967326782,0.5865587905248169,8,0.0,0.0
pre-peak,radius_re,0.125,I_NSF,4.466569823370669e+40,1.2502690642617564e+40,7.596163477952602e+40,8,0.0,0.0
pre-peak,radius_re,0.125,J_NSF,1.6952920049499862e+40,4.4902571357452694e+39,2.9248448365142986e+40,8,0.0,0.0
pre-peak,radius_re,0.125,HA6562,4.476911600417894e+40,1.2621806048758957e+40,7.607914575800036e+40,8,0.0,0.0
pre-peak,radius_re,0.125,HB4861,1.565369282589658e+40,4.4134095584258923e+39,2.6601378482224123e+40,8,0.0,0.0
pre-peak,radius_re,0.125,OIII5006,1.6719397425570906e+40,1.844377003536698e+39,3.156441848318047e+40,8,0.0,0.0
pre-peak,radius_re,0.125,NII6583,1.0629292258265911e+40,5.1774866379001024e+39,1.585670176899421e+40,8,0.0,0.0
pre-peak,radius_re,0.125,SII_SUM,8.73551967768098e+39,2.730282546164453e+39,1.4531716148789692e+40,8,0.0,0.0
pre-peak,radius_re,0.125,F_ND,0.01234484382925255,0.004972628888230275,0.019717058770274826,8,0.022,0.0
pre-peak,radius_re,0.375,O,0.5761654828946581,0.4799294354993584,0.6713276904362819,8,0.0,0.0
pre-peak,radius_re,0.375,I,0.08124676254352689,0.044292841996409545,0.11803556964095008,8,0.0,0.0
pre-peak,radius_re,0.375,T,0.04681158017451879,0.024272745816041306,0.06952673727952864,8,0.0,0.0
pre-peak,radius_re,0.375,F_SF,0.5761654828946581,0.4799294354993584,0.6713276904362819,8,0.0,0.0
pre-peak,radius_re,0.375,F_NSF,0.35943790706473866,0.2955167404250284,0.4250289882957531,8,0.0,0.0
pre-peak,radius_re,0.375,I_NSF,1.013335416050916e+40,1.7408358771108925e+39,1.8405653361868044e+40,8,0.0,0.0
pre-peak,radius_re,0.375,J_NSF,3.556897210678846e+39,3.684406128700842e+38,6.733279678199079e+39,8,0.0,0.0
pre-peak,radius_re,0.375,HA6562,1.0195157164255143e+40,1.8100319116996468e+39,1.8489050401149293e+40,8,0.0,0.0
pre-peak,radius_re,0.375,HB4861,3.564883499993312e+39,6.329494577562973e+38,6.464830415178561e+39,8,0.0,0.0
pre-peak,radius_re,0.375,OIII5006,3.3094295247380754e+39,4.100486425346098e+38,6.197099692476638e+39,8,0.0,0.0
pre-peak,radius_re,0.375,NII6583,2.474265523217658e+39,9.086930899860059e+38,4.029072873163575e+39,8,0.0,0.0
pre-peak,radius_re,0.375,SII_SUM,2.921494944678765e+39,6.299959866141393e+38,5.2016100769093554e+39,8,0.0,0.0
pre-peak,radius_re,0.375,F_ND,0.06439661004060321,0.022812068001091604,0.10094065131392366,8,0.0035,0.0
pre-peak,radius_re,0.625,O,0.5911150947585595,0.5345719910102802,0.6488726326492522,8,0.0,0.0
pre-peak,radius_re,0.625,I,0.06625478434508955,0.030985031862692948,0.10141560018768861,8,0.0,0.0
pre-peak,radius_re,0.625,T,0.03916420312635554,0.01821673780278165,0.05966090630206397,8,0.0,0.0
pre-peak,radius_re,0.625,F_SF,0.5911150947585595,0.5345719910102802,0.6488726326492522,8,0.0,0.0
pre-peak,radius_re,0.625,F_NSF,0.36026921245651666,0.3268037902366455,0.3935995707069228,8,0.0,0.0
pre-peak,radius_re,0.625,I_NSF,3.629579265391987e+39,8.42310780728618e+38,6.371586461709202e+39,8,0.0,0.0
pre-peak,radius_re,0.625,J_NSF,1.4183537630774213e+39,2.467281416453506e+38,2.582355962781788e+39,8,0.0,0.0
pre-peak,radius_re,0.625,HA6562,3.732987884358003e+39,9.765723065701555e+38,6.471134252757938e+39,8,0.0,0.0
pre-peak,radius_re,0.625,HB4861,1.305301270761726e+39,3.4157636228006326e+38,2.2626623136730408e+39,8,0.0,0.0
pre-peak,radius_re,0.625,OIII5006,1.1943743653809438e+39,2.237602544219391e+38,2.1597423376737228e+39,8,0.0,0.0
pre-peak,radius_re,0.625,NII6583,1.052928786450642e+39,5.227722013141095e+38,1.5746114402391978e+39,8,0.0,0.0
pre-peak,radius_re,0.625,SII_SUM,1.3298209741286054e+39,4.351401494977239e+38,2.2199253326405363e+39,8,0.0,0.0
pre-peak,radius_re,0.625,F_ND,0.048615692784923725,0.0191493892908455,0.07689725706133989,8,0.0002,0.0
pre-peak,radius_re,0.875,O,0.5546207017856468,0.5017579701540174,0.6097126332139541,8,0.0,0.0
pre-peak,radius_re,0.875,I,0.031869041228285266,0.02140952312972728,0.04238489596930312,8,0.0,0.0
