GALID,stage,variable,bin_left,bin_right,center,N_valid,N_SF,N_ND,N_NSF
NGC4694,close-to-peak,radius_re,7.0,7.25,7.125,0,0,0,0
NGC4694,close-to-peak,radius_re,7.25,7.5,7.375,0,0,0,0
NGC4694,close-to-peak,radius_re,7.5,7.75,7.625,0,0,0,0
NGC4694,close-to-peak,radius_re,7.75,8.0,7.875,0,0,0,0
IC3392,post-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0
IC3392,post-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0
IC3392,post-peak,log_sigma_star,6.25,6.5,6.375,0,0,0,0
IC3392,post-peak,log_sigma_star,6.5,6.75,6.625,0,0,0,0
IC3392,post-peak,log_sigma_star,6.75,7.0,6.875,2931,0,2931,0
IC3392,post-peak,log_sigma_star,7.0,7.25,7.125,16158,0,16158,0
IC3392,post-peak,log_sigma_star,7.25,7.5,7.375,13802,0,13802,0
IC3392,post-peak,log_sigma_star,7.5,7.75,7.625,15470,0,15055,415
IC3392,post-peak,log_sigma_star,7.75,8.0,7.875,17967,319,15833,1815
IC3392,post-peak,log_sigma_star,8.0,8.25,8.125,19046,5483,7565,5998
IC3392,post-peak,log_sigma_star,8.25,8.5,8.375,6793,5838,139,816
IC3392,post-peak,log_sigma_star,8.5,8.75,8.625,1729,1667,0,62
IC3392,post-peak,log_sigma_star,8.75,9.0,8.875,572,488,0,84
IC3392,post-peak,log_sigma_star,9.0,9.25,9.125,106,101,0,5
IC3392,post-peak,log_sigma_star,9.25,9.5,9.375,1,1,0,0
IC3392,post-peak,log_sigma_star,9.5,9.75,9.625,0,0,0,0
IC3392,post-peak,log_sigma_star,9.75,10.0,9.875,0,0,0,0
IC3392,post-peak,log_sigma_star,10.0,10.25,10.125,0,0,0,0
IC3392,post-peak,log_sigma_star,10.25,10.5,10.375,0,0,0,0
IC3392,post-peak,log_sigma_star,10.5,10.75,10.625,0,0,0,0
IC3392,post-peak,log_sigma_star,10.75,11.0,10.875,0,0,0,0
IC3392,post-peak,log_sigma_star,11.0,11.25,11.125,0,0,0,0
IC3392,post-peak,radius_re,0.0,0.25,0.125,1646,1543,0,103
IC3392,post-peak,radius_re,0.25,0.5,0.375,4916,4795,0,121
IC3392,post-peak,radius_re,0.5,0.75,0.625,8210,5897,246,2067
IC3392,post-peak,radius_re,0.75,1.0,0.875,11479,1662,5140,4677
IC3392,post-peak,radius_re,1.0,1.25,1.125,12404,0,10725,1679
IC3392,post-peak,radius_re,1.25,1.5,1.375,10582,0,10225,357
IC3392,post-peak,radius_re,1.5,1.75,1.625,10036,0,9955,81
IC3392,post-peak,radius_re,1.75,2.0,1.875,9755,0,9645,110
IC3392,post-peak,radius_re,2.0,2.25,2.125,9629,0,9629,0
IC3392,post-peak,radius_re,2.25,2.5,2.375,8661,0,8661,0
IC3392,post-peak,radius_re,2.5,2.75,2.625,5413,0,5413,0
IC3392,post-peak,radius_re,2.75,3.0,2.875,1778,0,1778,0
IC3392,post-peak,radius_re,3.0,3.25,3.125,66,0,66,0
IC3392,post-peak,radius_re,3.25,3.5,3.375,0,0,0,0
IC3392,post-peak,radius_re,3.5,3.75,3.625,0,0,0,0
IC3392,post-peak,radius_re,3.75,4.0,3.875,0,0,0,0
IC3392,post-peak,radius_re,4.0,4.25,4.125,0,0,0,0
IC3392,post-peak,radius_re,4.25,4.5,4.375,0,0,0,0
IC3392,post-peak,radius_re,4.5,4.75,4.625,0,0,0,0
IC3392,post-peak,radius_re,4.75,5.0,4.875,0,0,0,0
IC3392,post-peak,radius_re,5.0,5.25,5.125,0,0,0,0
IC3392,post-peak,radius_re,5.25,5.5,5.375,0,0,0,0
IC3392,post-peak,radius_re,5.5,5.75,5.625,0,0,0,0
IC3392,post-peak,radius_re,5.75,6.0,5.875,0,0,0,0
IC3392,post-peak,radius_re,6.0,6.25,6.125,0,0,0,0
IC3392,post-peak,radius_re,6.25,6.5,6.375,0,0,0,0
IC3392,post-peak,radius_re,6.5,6.75,6.625,0,0,0,0
IC3392,post-peak,radius_re,6.75,7.0,6.875,0,0,0,0
IC3392,post-peak,radius_re,7.0,7.25,7.125,0,0,0,0
IC3392,post-peak,radius_re,7.25,7.5,7.375,0,0,0,0
IC3392,post-peak,radius_re,7.5,7.75,7.625,0,0,0,0
IC3392,post-peak,radius_re,7.75,8.0,7.875,0,0,0,0
NGC4064,post-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0
NGC4064,post-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0
NGC4064,post-peak,log_sigma_star,6.25,6.5,6.375,0,0,0,0
NGC4064,post-peak,log_sigma_star,6.5,6.75,6.625,0,0,0,0
NGC4064,post-peak,log_sigma_star,6.75,7.0,6.875,5910,0,5910,0
NGC4064,post-peak,log_sigma_star,7.0,7.25,7.125,20264,0,20180,84
NGC4064,post-peak,log_sigma_star,7.25,7.5,7.375,39813,0,38882,931
NGC4064,post-peak,log_sigma_star,7.5,7.75,7.625,41537,0,39198,2339
NGC4064,post-peak,log_sigma_star,7.75,8.0,7.875,31437,0,23998,7439
NGC4064,post-peak,log_sigma_star,8.0,8.25,8.125,20295,11,10549,9735
NGC4064,post-peak,log_sigma_star,8.25,8.5,8.375,12096,463,2895,8738
NGC4064,post-peak,log_sigma_star,8.5,8.75,8.625,6341,1374,512,4455
NGC4064,post-peak,log_sigma_star,8.75,9.0,8.875,1871,1169,6,696
NGC4064,post-peak,log_sigma_star,9.0,9.25,9.125,304,243,0,61
NGC4064,post-peak,log_sigma_star,9.25,9.5,9.375,14,13,0,1
NGC4064,post-peak,log_sigma_star,9.5,9.75,9.625,0,0,0,0
NGC4064,post-peak,log_sigma_star,9.75,10.0,9.875,0,0,0,0
NGC4064,post-peak,log_sigma_star,10.0,10.25,10.125,0,0,0,0
NGC4064,post-peak,log_sigma_star,10.25,10.5,10.375,0,0,0,0
NGC4064,post-peak,log_sigma_star,10.5,10.75,10.625,0,0,0,0
NGC4064,post-peak,log_sigma_star,10.75,11.0,10.875,0,0,0,0
